"Posição 'x' e 'y' - Pata 2"

"Time      "	"X"	"Y"
1.752000e+00	3.053021e+02	8.919295e+01
1.764000e+00	3.051976e+02	8.949788e+01
1.776000e+00	3.050972e+02	8.978953e+01
1.788000e+00	3.050011e+02	9.006772e+01
1.800000e+00	3.049094e+02	9.033225e+01
1.812000e+00	3.048221e+02	9.058295e+01
1.824000e+00	3.047394e+02	9.081961e+01
1.836000e+00	3.046615e+02	9.104205e+01
1.848000e+00	3.045884e+02	9.125007e+01
1.860000e+00	3.045202e+02	9.144348e+01
1.872000e+00	3.044571e+02	9.162210e+01
1.884000e+00	3.043991e+02	9.178572e+01
1.896000e+00	3.043464e+02	9.193415e+01
1.908000e+00	3.042991e+02	9.206720e+01
1.920000e+00	3.042573e+02	9.218467e+01
1.932000e+00	3.042210e+02	9.228636e+01
1.944000e+00	3.041903e+02	9.237208e+01
1.956000e+00	3.041655e+02	9.244163e+01
1.968000e+00	3.041464e+02	9.249480e+01
1.980000e+00	3.041333e+02	9.253140e+01
1.992000e+00	3.041262e+02	9.255122e+01
2.004000e+00	3.041259e+02	9.255574e+01
2.016000e+00	3.041416e+02	9.256652e+01
2.028000e+00	3.041761e+02	9.259011e+01
2.040000e+00	3.042289e+02	9.262636e+01
2.052000e+00	3.043000e+02	9.267515e+01
2.064000e+00	3.043890e+02	9.273635e+01
2.076000e+00	3.044957e+02	9.280984e+01
2.088000e+00	3.046198e+02	9.289550e+01
2.100000e+00	3.047611e+02	9.299324e+01
2.112000e+00	3.049194e+02	9.310294e+01
2.124000e+00	3.050942e+02	9.322453e+01
2.136000e+00	3.052854e+02	9.335791e+01
2.148000e+00	3.054927e+02	9.350300e+01
2.160000e+00	3.057158e+02	9.365972e+01
2.172000e+00	3.059545e+02	9.382799e+01
2.184000e+00	3.062083e+02	9.400775e+01
2.196000e+00	3.064770e+02	9.419892e+01
2.208000e+00	3.067604e+02	9.440146e+01
2.220000e+00	3.070582e+02	9.461529e+01
2.232000e+00	3.073699e+02	9.484037e+01
2.244000e+00	3.076954e+02	9.507663e+01
2.256000e+00	3.080343e+02	9.532402e+01
2.268000e+00	3.083863e+02	9.558251e+01
2.280000e+00	3.087511e+02	9.585203e+01
2.292000e+00	3.091284e+02	9.613254e+01
2.304000e+00	3.095178e+02	9.642400e+01
2.316000e+00	3.099191e+02	9.672635e+01
2.328000e+00	3.103319e+02	9.703957e+01
2.340000e+00	3.107560e+02	9.736359e+01
2.352000e+00	3.111909e+02	9.769839e+01
2.364000e+00	3.116364e+02	9.804391e+01
2.376000e+00	3.120921e+02	9.840011e+01
2.388000e+00	3.125577e+02	9.876694e+01
2.400000e+00	3.130330e+02	9.914436e+01
